type,properties/@id,properties/name,properties/tourism,properties/wheelchair,properties/wikidata,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/addr:city,properties/addr:housenumber,properties/addr:postcode,properties/addr:province,properties/addr:street,properties/amenity,properties/cuisine,properties/opening_hours,properties/phone,properties/source,properties/addr:unit,properties/check_date,properties/email,properties/website,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,properties/diet:gluten_free,properties/operator,properties/payment:mastercard,properties/payment:visa,properties/drive_through,properties/takeaway,properties/official_name,properties/name:zh,properties/addr:country,properties/website:en,properties/website:fr,properties/url,properties/toilets:wheelchair,properties/created_by,properties/payment:credit_cards,properties/payment:debit_cards,properties/name:en,properties/name:zh-Hans,properties/indoor_seating,properties/outdoor_seating,properties/level,properties/level:ref,properties/note,properties/branch,properties/contact:facebook,properties/delivery,properties/smoking,properties/internet_access,properties/old_name,properties/internet_access:fee,properties/leisure,properties/start_date,properties/website:menu,properties/check_date:currency:XBT,properties/check_date:internet_access,properties/capacity,properties/layer,properties/short_name,properties/reservation,properties/fax,properties/toilets,properties/rice_noodle,properties/alt_name,properties/wheelchair:description,properties/contact:instagram,properties/diet:vegan,properties/delivery:partner,properties/payment:interac,properties/contact:yelp,properties/not:brand:wikidata,properties/check_date:opening_hours,properties/air_conditioning,properties/diet:vegetarian,properties/long_name,properties/diet:meat,properties/payment:cash,properties/payment:e-transfer,properties/self_service,properties/contact:youtube,properties/diet:halal,properties/wifi,properties/stars,properties/attraction,properties/species,properties/brand:en,properties/brand:zh,properties/contact:twitter,properties/internet_access:ssid,properties/source:name,properties/description,properties/shop,properties/diet:seafood,properties/name:cs,properties/name:fr,properties/changing_table,properties/name:ja,properties/diet:keto,properties/facebook,properties/payment:cards,properties/breakfast,properties/payment:american_express,properties/craft,properties/int_name,properties/payment:contactless,properties/species:wikidata,properties/species:wikipedia,properties/rooms,properties/building:levels,properties/twitter,properties/microbrewery,properties/min_age,properties/opening_hours:kitchen,properties/contact:website,properties/lunch,properties/diet:lactose_free,properties/bar,properties/opening_date,properties/addr:county,properties/opening_hours:covid19,properties/all_you_can_eat,properties/toilets:menstrual_products,properties/name:zh-Hant,properties/theme,properties/payment:discover_card,properties/was:contact:google_plus,properties/contact:spotify,properties/contact:tiktok,properties/phone:mnemonic,properties/payment:app,properties/payment:neo,properties/was:website,properties/name:ko,properties/payment:apple_pay,properties/payment:diners_club,properties/payment:jcb,properties/payment:square_wallet,properties/payment:unionpay,properties/diet:pescetarian,properties/sport,properties/cafe,properties/diet:dairy_free,properties/toilets:access,properties/language:en,properties/language:vi,properties/live_music,properties/phone:signed,properties/source:phone,properties/strapline,properties/language:am,properties/old_name:--2017,properties/old_name:2018--2023,properties/diet:mediterranean,properties/highchair,properties/organic,properties/opening_hours:signed,properties/instagram,properties/brewery,properties/toilets:position,properties/drink:coffee,properties/drink:espresso,properties/drink:tea,properties/addr:floor,properties/diet:healthy,properties/diet:local,properties/diet:organic
Feature,node/1648016162,Vintage Chophouse,,,,Point,-114.0684735,51.0426524,node/1648016162,,320,T2R 0C5,,11 Avenue SW,restaurant,steak_house,Mo-We 11:30-22:00; Th-Fr 11:30-23:00; Sa 17:00-23:00; Su 17:00-21:00,+1 403-262-7262,,,,,https://vintagechophouse.com/,,,,,,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vintage Chophouse and Tavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1648016179,Bar Chouette,,,,Point,-114.067884,51.0418295,node/1648016179,,227,T2R 1R9,,11 Avenue SW,restaurant,,"Mo-Tu,Sa 16:00-24:00+; We-Fr 11:30-24:00+; Su off",,,130,,,https://www.barchouette.ca/,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1648053094,NAM Vietnamese Kitchen,,,,Point,-114.0736163,50.9977556,node/1648053094,,,,,,restaurant,noodle,Mo-Sa 10:00-21:00; Su 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1648053097,Starbucks,,,,Point,-114.0741799,50.998971,node/1648053097,,,,,,cafe,coffee_shop,,,,,,,,Starbucks,Q37158,en:Starbucks,,,,,,yes,Starbucks Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1658567498,Wiener Schnitzel Haus,,,,Point,-114.1609912,51.0726463,node/1658567498,Calgary,4703,T3B 0B5,Alberta,Bowness Road NW,restaurant,german,Th-Sa 17:00-21:00,+1 403-288-2230,,1,,,https://wienerschnitzel.ca/,,,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1659977449,Railway Cafe,,,,Point,-114.1013539,50.9822463,node/1659977449,,,,,,cafe,,Mo-Su 09:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1660083421,Caffe Artigiano,,,,Point,-114.0704744,51.0501198,node/1660083421,,,,,,cafe,coffee_shop,,,,,,,https://caffeartigiano.com/Location_Alberta_ShellOil.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1660083430,Flower & Wolf,,,,Point,-114.070286,51.0521398,node/1660083430,Calgary,225,T2P 5C2,Alberta,Barclay Parade SW,restaurant,,Mo-Fr 06:30-22:00; Sa-Su 07:00-22:00,,,,,,https://www.flowerandwolfcalgary.com/,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,Barclay's Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1660083467,Redwater Rustic Grill,,,,Point,-114.0671861,51.0477389,node/1660083467,,,,,,restaurant,,,,,,,,https://www.redwatergrille.com/bow-valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1668215138,Royal Paan,,,,Point,-114.0709262,51.1421111,node/1668215138,Calgary,40,,Alberta,Country Hills Landing NW,restaurant,indian,,,,116,,,https://royalpaan.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1668215139,Pho Van Vietnamese Noodle House,,,,Point,-114.070572,51.1419481,node/1668215139,Calgary,40,,Alberta,Country Hills Landing NW,restaurant,vietnamese,,,Bing,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1668215141,Raj Palace South Indian Cuisine,,,,Point,-114.0707627,51.1420315,node/1668215141,Calgary,40,,Alberta,Country Hills Landing NW,restaurant,indian,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1669736235,Good Earth Coffeehouse,,,,Point,-114.0888957,51.0391598,node/1669736235,,1502,T2R 1G9,,11 Street SW,cafe,coffee_shop,Mo-Fr 06:30-21:00; Sa-Su 07:00-18:00,+1 403-228-9543,,,,,https://goodearthcoffeehouse.com/location/11th-street-sw-beltline/,,,,,,,,,,,,,,,,,,,,,,,yes,,,,11th Street SW - Beltline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1669739438,Denny's,,,,Point,-114.087794,51.0379433,node/1669739438,Calgary,1116,T2T 0B4,AB,17 Avenue SW,restaurant,american,"Su-We 07:00-23:00, Th-Sa 07:00-00:30",+1 403 243 6096,,,,,https://www.dennys.ca/,Denny's,Q1189695,en:Denny's,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1676570424,Cultural Centre Restaurant,,,,Point,-114.0653534,51.0511616,node/1676570424,,,,,,restaurant,chinese,Fr-Su 11:00-20:00,,,,,,https://chineseculturalcuisine.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1680284113,Second Cup,,,,Point,-114.1073937,51.0664405,node/1680284113,,,,,,cafe,coffee_shop,,,,,,,,Second Cup,Q862180,en:Second Cup,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1700573267,Brother's Taste of Asia,,,,Point,-114.1119046,50.9053614,node/1700573267,Calgary,2335,T2Y 4S6,,162 Avenue SW,restaurant,chinese;asian,"Mo-Sa 11:00-14:00; Mo-Th,PH 16:00-22:00; Fr-Sa 16:00-23:00",+1-403-276-8437,,223,,,,,,,,,yes,yes,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1700573294,Li-Ao Sushi,,,,Point,-114.1118095,50.9053614,node/1700573294,Calgary,2335,T2Y 4S6,,162 Avenue SW,restaurant,sushi;japanese,Mo-Su 11:30-22:00,+1-403-719-9668,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1700573377,The British Chippy,,,,Point,-114.1116453,50.9053621,node/1700573377,Calgary,2335,T2Y 4S6,,162 Avenue SW,restaurant,fish_and_chips;british,"Tu-Sa 11:30-14:00,16:30-20:00; Su 16:30-19:00",+1-403-256-1156,,233,,,http://thebritishchippy.com/,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1700573411,Yummy Yummy Chinese Cuisine,,,,Point,-114.1182553,50.9012137,node/1700573411,Calgary,2525,T2Y 4Y1,,Bridlecrest Boulevard SW,restaurant,chinese,"Mo-Th,Su 16:00-22:00, Fr-Sa 16:00-23:00",+1-403-256-8823,,70,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1735731175,Starbucks,,yes,,Point,-114.0628603,51.044834,node/1735731175,,,,,,cafe,coffee_shop,,,,,,,,Starbucks,Q37158,en:Starbucks,,,,,,yes,Starbucks Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1735731177,Murrieta's Bar & Grill,,,,Point,-114.065354,51.045216,node/1735731177,Calgary,808,T2P 1M9,AB,1 Street SW,restaurant,,"Mo-Th 11:00-22:00, Fr 11:00-24:00, Sa 16:00-24:00",+1 403 269 7707,,200,,,https://murrietas.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/MurrietasCalgary,,,,,,,,,,,,,,yes,,,,,,murrietas_calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1735731183,Saltlik,,limited,,Point,-114.063274,51.0454326,node/1735731183,Calgary,101,,AB,8 Avenue SW,restaurant,steak_house,Mo-Fr 11:00-23:00; Sa 17:00-23:00; Su 17:00-22:00; Dec 24-25 closed; Dec 31 16:00-00:30,+1 403 537 1160,,,,infocalgary@saltlik.com,https://saltlik.com/calgary/,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,,,doordash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1735746143,Second Cup,,,,Point,-114.1269692,51.0375758,node/1735746143,,,,,,cafe,coffee_shop,,,,,,,,Second Cup,Q862180,en:Second Cup,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1737981747,Caffe Mauro,,,,Point,-114.081668,51.0440921,node/1737981747,,999,,,8 Street SW,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1737983136,The Chick Pea,,,,Point,-114.0780441,51.0461105,node/1737983136,,736,,,8 Avenue SW,restaurant,mediterranean,Mo-Fr 10:30-16:00,+1-403-264-9299,,,,,https://thechickpea.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1737983979,Ruth's Chris Steak House,,,,Point,-114.0628134,51.0442743,node/1737983979,,115,T2G 0P5,,9 Avenue SE,restaurant,american;steak_house,"Mo-Su,PH 17:00-24:00",,,294,2025-05-11,,https://ruthschrisalberta.ca/calgary,Ruth's Chris Steak House,Q7382829,en:Ruth's Chris Steak House,,,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1737984016,CHARCUT Roast House,,,,Point,-114.0633021,51.0447427,node/1737984016,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1750400607,Trawler's Seafood Kitchen,,,,Point,-114.0949669,51.0388416,node/1750400607,,,,,,restaurant,seafood,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1750400623,Ginger Beef Express,,,,Point,-114.0949749,51.038732,node/1750400623,,,,,,restaurant,chinese,,,,,,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1752175181,South Silk Road Chinese Restaurant,,,,Point,-114.0950631,51.0595395,node/1752175181,,,,,,restaurant,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1763629526,Cardinale,,,,Point,-114.0557621,51.0410969,node/1763629526,Calgary,401,T2G 1A5,Alberta,12 Avenue SE,restaurant,italian,Mo-Su 16:30-22:00,+1-403-264-6046,,,,graham@cardinale.ca,https://www.cardinale.ca/,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1783919620,Sunrise Deli,,,,Point,-114.0093601,51.0793981,node/1783919620,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1791074343,Seoul Korean BBQ Restaurant,,,,Point,-114.0643263,51.0148513,node/1791074343,,,,,,restaurant,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1791074357,Pho Vietnamese Village,,,,Point,-114.0655152,51.014854,node/1791074357,Calgary,4341,,AB,Macleod Trail SW,restaurant,vietnamese,,+1-403-274-2710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1791074370,Babylon Restaurant and Lounge,,,,Point,-114.0643625,51.014772,node/1791074370,,,,,,restaurant,kebab,,,,,,,http://www.babylonlounge.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1791074374,3:30 Hot Point Fusion Cafe,,,,Point,-114.0643934,51.0146961,node/1791074374,,,,,,restaurant,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1791080631,Pho Xinh Xinh,,,,Point,-114.0630348,51.0156149,node/1791080631,,117,,,42 Avenue SW,restaurant,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1792711551,Noodle World Vietnamese Restaurant,,,,Point,-113.9633417,51.0374375,node/1792711551,,,,,,restaurant,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1797778722,Annie's Bakery,,,,Point,-114.0229025,50.9101542,node/1797778722,Calgary,15985,,,Bow Bottom Trail SE,cafe,,"Mo-Th 09:00-18:00 open ""Spring & Summer, Weather Permitting""; Fr-Su 09:00-19:00 open ""Spring & Summer, Weather Permitting""",+1-403-476-1308,,,,annies@bvrrestaurant.com,https://www.bvrrestaurant.com/content/13-annies-cafe,,,,,,,,,yes,,,,,,,,,,,,,,yes,,,,,,,,wlan,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1809336254,Teatro,,,,Point,-114.0602746,51.0457441,node/1809336254,,,,,,restaurant,,,,,,,,http://www.teatro.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1809340866,Rosso Coffee,,,,Point,-114.0612711,51.0455831,node/1809340866,,,,,,cafe,coffee_shop,"Mo-Fr 07:00-17:00; Sa,Su 09:00-17:00",+1-403-264-7900,,,,info@rossocoffeeroasters.com,https://www.rossocoffeeroasters.com/pages/downtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1809348267,Milestones,,yes,,Point,-114.06274,51.0453858,node/1809348267,Calgary,107,T2G 0K4,AB,8 Avenue SE,restaurant,bar_and_grill,"Mo-Th 11:00-23:00; Fr,Sa 11:00-24:00; Su 11:00-23:00",+1 403 410 9521,,,,,https://milestonesrestaurants.com/,Milestones,Q6851623,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/milestonesrestaurants,yes,,,,,,,,,,,,,yes,,,,,,milestonesrestaurants,,doordash;skipthedishes;ubereats,,,,,,,,,,,,https://www.youtube.com/user/MilestonesRestaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1809350413,Rose Garden Thai Restaurant,,,,Point,-114.0638,51.0456918,node/1809350413,Calgary,112,T2P 1B3,AB,8 Avenue SW,restaurant,thai,"Tu-Fr 110:00-14:00, 17:00-21:00; Sa-Su 17:00-21:00; Mo off",+1 403 264 1988,,,,,https://www.rosegardenthai.ca/,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,https://www.facebook.com/Rosegardenthairestaurant-111052864559592/,yes,,,,,,,,,,,,,yes,,,,,,,,doordash;skipthedishes;ubereats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1809386085,Moxie's,,no,,Point,-114.080657,51.0471412,node/1809386085,,888,T2P 3J3,,7 Avenue SW,restaurant,bar_and_grill,Su-Mo 07:00-22:00; Tu-Th 07:00-23:00; Fr-Sa 07:00-24:00,+1-403-234-7507,,,,cdtgm@moxies.ca,https://moxies.com/restaurants/calgary-downtown/,Moxie's,Q6927497,,,,,,,,,,,,,,,,,,,,,,,,,Downtown Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1809386087,Lougheed House Restaurant,,,,Point,-114.0770801,51.0404869,node/1809386087,,,,,,restaurant,,,,,,,,http://www.lougheedhouse.com/html/restaurant.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
