type,properties/@id,properties/amenity,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,properties/cuisine,properties/level,properties/name,properties/takeaway,properties/wheelchair,properties/addr:city,properties/addr:housenumber,properties/addr:street,properties/check_date,properties/air_conditioning,properties/diet:vegan,properties/diet:vegetarian,properties/drive_through,properties/indoor_seating,properties/internet_access,properties/opening_hours,properties/outdoor_seating,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/recycling:coffee_cups,properties/smoking,properties/alt_name,properties/official_name,properties/phone,properties/tourism,properties/website,properties/addr:postcode,properties/description,properties/ref:vatin,properties/self_checkout,properties/capacity,properties/wifi,properties/check_date:opening_hours,properties/contact:facebook,properties/contact:instagram,properties/contact:twitter,properties/website:menu,properties/opendata:type,properties/toilets:wheelchair,properties/addr:province,properties/delivery,properties/internet_access:fee,properties/wikidata,properties/wikipedia,properties/operator,properties/operator:wikidata,properties/operator:wikipedia,properties/wheelchair:description,properties/wikipedia:en,properties/source,properties/note,properties/toilets,properties/llbo,properties/addr:floor,properties/internet_access:ssid,properties/email,properties/opening_hours:signed,properties/created_by,properties/addr:unit,properties/highchair,properties/website:en,properties/website:fr,properties/addr:country,properties/diet:halal,properties/diet:kosher,properties/payment:contactless,properties/payment:mastercard,properties/payment:visa,properties/ref,properties/amenity:disused,properties/old_name,properties/image,properties/addr:district,properties/washrooms,properties/drink:coffee,properties/drink:juice,properties/shop,properties/floor,properties/branch,properties/former_name,properties/check_date:smoking,properties/fixme,properties/not:brand:wikidata,properties/layer,properties/dispensing,properties/drink:espresso,properties/addr:housename,properties/self_service,properties/hst_number,properties/payment:american_express,properties/store_ref,properties/toilets:access,properties/stars,properties/stars:system,properties/addr:place,properties/name:en,properties/name:fr,properties/reservation,properties/payment:interac,properties/gst_number,properties/diet:gluten_free,properties/access,properties/postal_code,properties/cost:coffee,properties/bar,properties/changing_table,properties/changing_table:location,properties/toilets:wheelchair:description,properties/display,properties/historic,properties/support,properties/payment:gift_card,properties/fax,properties/comment,properties/short_name,properties/name:ko,properties/est_date,properties/name:es,properties/payment:coins,properties/payment:notes,properties/source:alt_name,properties/brand:en,properties/brand:zh,properties/url,properties/payment:cards,properties/name:zh,properties/valet,properties/start_date,properties/colour,properties/emergency,properties/diet:beef,properties/diet:chicken,properties/diet:seafood,properties/name:zh-Hans,properties/name:zh-Hant,properties/vacant,properties/diet:healthy,properties/diet:meat,properties/dine_in,properties/survey:date,properties/catering,properties/drink,properties/lgbtq,properties/sport,properties/addr:house,properties/fee,properties/attraction,properties/internet_access:type,properties/highway,properties/store_name,properties/contact:email,properties/food,properties/chocolates,properties/check_date:diet:vegetarian,properties/twitter,properties/opening_hours:drive_through,properties/addr:suburb,properties/check_date:diet:vegan,properties/addr:subdistrict,properties/max_occupancy,properties/seating,properties/entrance,properties/heritage,properties/microbrewery,properties/office,properties/halal,properties/branch_name,properties/owner,properties/toilets:changing_table,properties/rice_noodle,properties/parking:fee,properties/int_name,properties/seats,properties/opening_hours:covid19,properties/opening_hours:url,properties/level:ref,properties/brand:short,properties/rooms,properties/unit,properties/name:vi,properties/brewery,properties/outdoor_seating:comfort,properties/check_date:currency:XBT,properties/currency:XBT,properties/payment:lightning,properties/payment:lightning_contactless,properties/payment:onchain,properties/contact:phone,properties/contact:website,properties/indoor,properties/payment:alipay,properties/payment:wechat,properties/leisure,properties/opening_hours:kitchen,properties/payment:credit_card,properties/source:addr,properties/barbecue,properties/addr:full,properties/disused:amenity,properties/building,properties/phone:mnemonic,properties/name:yue,properties/instagram,properties/internet_access:password,properties/rocks,properties/diet:non-vegetarian,properties/year,properties/diet:dairy_free,properties/name:nl,properties/payment:diners_club,properties/payment:discover_card,properties/payment:jcb,properties/payment:unionpay,properties/alcohol,properties/sensory_friendly,properties/fixme:type,properties/payment:apple_pay,properties/payment:google_pay,properties/payment:coinos,properties/cafe,properties/diet:pork,properties/brand:zh-Hans,properties/brand:zh-Hant,properties/name:zh-Latn-pinyin,properties/diet:spicy,properties/addr:door,properties/network,properties/theme,properties/organic,properties/stroller,properties/diet:fish,properties/diet:local,properties/start_date:restaurant,properties/was:amenity,properties/long_name,properties/alcohol:sales,properties/payment:qr_code
Feature,node/964114136,restaurant,Point,-79.2693336,43.7323889,node/964114136,,,,chinese,,Chung Moi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/970955600,restaurant,Point,-79.2656227,43.7273427,node/970955600,,,,filipino,,Manyaman Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/970955644,restaurant,Point,-79.2654847,43.7278025,node/970955644,,,,filipino,,Tagpuan,only,,,707,Kennedy Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,101A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/975540399,restaurant,Point,-79.3948063,43.6696327,node/975540399,Morton's Grille,Q110265756,,steak_house,,Morton's Grille,,yes,,,,,,,,,,,"Mo-Th, Su 17:00-21:00; Fr, Sa 17:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,of Chicago The Steakhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/978057325,cafe,Point,-79.4197805,43.7943668,node/978057325,Tim Hortons,Q175106,en:Tim Hortons,coffee_shop,,Tim Hortons,yes,,North York,6212,Yonge Street,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/978057394,restaurant,Point,-79.4199192,43.7943176,node/978057394,,,,sushi,,Ichiban Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/984719777,restaurant,Point,-79.3960657,43.7073671,node/984719777,,,,ramen,,Kinton Ramen,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/992345705,restaurant,Point,-79.387192,43.701585,node/992345705,,,,,,Millwood Bread & Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/992352391,restaurant,Point,-79.3878035,43.7030482,node/992352391,,,,,,Ubon Thai,,,,557,Mount Pleasant Road,,,,,,,,,,,,,,,,,,,www.ubonthai.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1000138209,restaurant,Point,-79.3891828,43.6499555,node/1000138209,,,,,,Shah’s Halal Food,,,Toronto,65,Duncan Street,2025-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coming soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1005001369,restaurant,Point,-79.3706647,43.650121,node/1005001369,Cora,Q2996960,en:Cora (restaurant),breakfast,,Cora,,limited,Toronto,106,Front Street East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1024574577,restaurant,Point,-79.3801574,43.6550597,node/1024574577,,,,,,Paramount Middle Eastern Cuisine and Bakery,,,Toronto,253,Yonge Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1038807940,restaurant,Point,-79.2772691,43.7548314,node/1038807940,,,,indian,,Kairali,,,Scarborough,1210,Kennedy Road,,,,,,,,,,,,,,,,,,,,M1P 2L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1038807945,restaurant,Point,-79.276094,43.7561086,node/1038807945,,,,,,Karaikudi Chettinad South Indian Restaurant,,,,,,2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1038839007,restaurant,Point,-79.396493,43.706978,node/1038839007,Swiss Chalet,Q2372909,en:Swiss Chalet,chicken,,Swiss Chalet,,no,,49,Eglinton Avenue East,2025-04-20,,,,,,,Mo-Sa 11:00-22:30; Su 11:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1050342974,restaurant,Point,-79.3873253,43.6681647,node/1050342974,,,,,,Blue Claw Lobster Shack,,,Toronto,25,Charles Street West,,,,,,,,11:30-21:00,,,,,,,,,+1-416-963-1122,,,M4Y2R4,,,,,,,,,,,,,Ontario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:IMGblueclaw.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1071533939,cafe,Point,-79.3902427,43.6581901,node/1071533939,Tim Hortons,Q175106,en:Tim Hortons,coffee_shop,,Tim Hortons,yes,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1109955206,restaurant,Point,-79.3978817,43.70363,node/1109955206,,,,breakfast,,Mia Brunch Bar,,,Toronto,2140,Yonge Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1111927242,restaurant,Point,-79.4659762,43.7578966,node/1111927242,Boston Pizza,Q894578,en:Boston Pizza,pizza,,Boston Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1111974211,restaurant,Point,-79.5016572,43.7744422,node/1111974211,,,,sushi,,Sakura Japanese Foods,,yes,,,,,,,,,,,Mo-Fr 11:00-23:00; Sa-Su 11:00-21:00,,,,,,,,,+1 647-881-9747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1111977534,restaurant,Point,-79.501574,43.7744587,node/1111977534,,,,italian,,Cucina Italian Cafe,,yes,,,,,,,,no,,,,,,,,,,,,+1 416-663-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catering@cucinetta.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1111980964,cafe,Point,-79.5017389,43.7741985,node/1111980964,,,,bubble_tea,,The Campus Bubble Tea,,yes,Toronto,80,York Boulevard,,,,,,,,Mo-Fr 10:30-20:30; Sa-Su 13:00-20:30,no,,,,,,,,+1 416-931-8662,,,M3J 1P3,,,,,,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1112701053,cafe,Point,-79.4931718,43.7742685,node/1112701053,Tim Hortons,Q175106,en:Tim Hortons,coffee_shop,,Tim Hortons,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1113717966,restaurant,Point,-79.3845852,43.6556657,node/1113717966,,,,,,Hana Don,,,,128,Dundas Street West,,,,,,,,,,,,,,,,,+1-416-348-8688,,https://hanadon.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1113718580,restaurant,Point,-79.3841891,43.655759,node/1113718580,,,,japanese,0,You Don Ya,,,,108,Dundas Street West,2023-07-16,,,,,,,,,,,,,no,,,+1-647-748-9399,,https://youdonya.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1113726655,cafe,Point,-79.383069,43.656009,node/1113726655,Timothy's,Q7807011,en:Timothy's World Coffee,coffee_shop,,Timothy's,yes,yes,Toronto,595,Bay Street,,,,,no,,yes,Mo-Fr 06:30-19:00; Sa 08:00-18:00; Su 11:00-18:00,,,,,,no,,,,,,M5G 2C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1122868407,restaurant,Point,-79.393286,43.669947,node/1122868407,,,,japanese,,Shogun Japanese Restaurant & Sushi Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1122884862,restaurant,Point,-79.3882705,43.6734961,node/1122884862,,,,,,Crown & Dragon Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1122910379,restaurant,Point,-79.3934012,43.6859327,node/1122910379,,,,italian,,Capocaccia,,,,,,2024-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1122924690,restaurant,Point,-79.3960141,43.6967649,node/1122924690,,,,indian,,Tamasha,,,,,,2025-04-20,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1123668851,restaurant,Point,-79.3880493,43.6743768,node/1123668851,,,,,,Happy Burger,,,,881,Yonge Street,,,,,,,,"Su-We 11:00-01:00, Th-Sa 11:00-02:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1123677272,restaurant,Point,-79.390241,43.6782804,node/1123677272,,,,,,Pantry,,,,,,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1123679252,restaurant,Point,-79.3904893,43.6789031,node/1123679252,,,,,,Carens Rosedale,,,,,,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1123685692,cafe,Point,-79.3916485,43.6816978,node/1123685692,,,,,,Boxcar Social,,,Toronto,1208,Yonge Street,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1123708650,restaurant,Point,-79.3948974,43.6895742,node/1123708650,Swiss Chalet,Q2372909,en:Swiss Chalet,chicken,,Swiss Chalet,,,Toronto,1560,Yonge Street,2024-07-27,,,,,,,,,,,,,,,,+1-416-964-6501,,,M4T 2S9,,,,,,,,,,,,,,,,,,Cara,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826697260RT0001,,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1123778888,restaurant,Point,-79.3874757,43.6723681,node/1123778888,,,,chinese,,Lee Chen Asian Bistro,,,Toronto,813,Yonge Street,,,,,,,,Mo-Su 11:30-21:30,,,,,,,,,+1-416-901-8869,,https://leechenbistro.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1125195977,restaurant,Point,-79.4116255,43.7628999,node/1125195977,,,,italian,,Armando's Authentic Italian Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
