type,properties/@id,properties/addr:city,properties/addr:country,properties/addr:postcode,properties/addr:street,properties/addr:suburb,properties/amenity,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,properties/cuisine,properties/internet_access,properties/name,properties/opening_hours,properties/operator,properties/outdoor_seating,properties/phone,properties/website,properties/wheelchair,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/fhrs:id,properties/smoking,properties/addr:housenumber,properties/check_date,properties/indoor_seating,properties/addr:housename,properties/email,properties/source:addr,properties/tourism,properties/diet:gluten_free,properties/diet:vegan,properties/diet:vegetarian,properties/disused:amenity,properties/old_name,properties/payment:cash,properties/bar,properties/air_conditioning,properties/check_date:opening_hours,properties/level,properties/payment:contactless,properties/payment:credit_cards,properties/payment:debit_cards,properties/payment:mastercard,properties/payment:visa,properties/ref,properties/takeaway,properties/official_name,properties/branch,properties/contact:facebook,properties/contact:instagram,properties/contact:twitter,properties/wikidata,properties/wikipedia,properties/capacity,properties/drive_in,properties/addr:floor,properties/description,properties/internet_access:fee,properties/microbrewery,properties/organic,properties/food,properties/source,properties/addr:unit,properties/opening_hours:signed,properties/ref:vatin,properties/real_ale,properties/shop,properties/historic,properties/memorial,properties/religion,properties/subject:wikidata,properties/subject:wikipedia,properties/wikimedia_commons,properties/addr:state,properties/payment:cards,properties/toilets,properties/source:name,properties/toilets:unisex,properties/reservation,properties/not:addr:postcode,properties/check_date:diet:vegetarian,properties/alt_name,properties/fhrs:local_authority_id,properties/layer,properties/note,properties/addr:parentstreet,properties/fixme,properties/ele,properties/source:addr:postcode,properties/contact:phone,properties/name:en,properties/name:zh-Hans,properties/baby,properties/drive_through,properties/changing_table,properties/toilets:wheelchair,properties/internet_access:ssid,properties/contact:email,properties/contact:website,properties/highchair,properties/wheelchair:description,properties/addr:place,properties/payment:american_express,properties/payment:visa_debit,properties/not:fhrs:addr:postcode,properties/delivery,properties/brand:en,properties/brand:zh,properties/name:zh,properties/breakfast,properties/internet_access:operator,properties/url,properties/amenity:restaurant,properties/fhrs:rating,properties/closed,properties/rooms,properties/contact:city,properties/contact:country,properties/contact:housenumber,properties/contact:postcode,properties/contact:street,properties/short_name,properties/old_amenity,properties/artwork_type,properties/self_service,properties/old_fhrs:id,properties/changing_table:fee,properties/kids_area:indoor,properties/toilets:access,properties/payment:discover_card,properties/changing_table:location,properties/stars,properties/payment:diners_club,properties/diet:halal,properties/drinking_water:refill,properties/drinking_water:refill:network,properties/name:th,properties/website:menu,properties/start_date,properties/diet:jain_vegetarian,properties/ref:vcgi:esiteid,properties/diet:meat,properties/pets_allowed,properties/building,properties/dinner,properties/lunch,properties/website:orders,properties/check_date:diet:vegan,properties/indoor,properties/dog,properties/diet:non-vegetarian,properties/live_music,properties/construction,properties/check_date:diet:gluten_free,properties/opening_hours:url,properties/kids_area,properties/kids_area:fee,properties/kids_area:outdoor,properties/kids_area:supervised,properties/payment:coins,properties/entrance,properties/survey:date,properties/cafe,properties/nohousenumber,properties/fee,properties/street_vendor,properties/fast_food,properties/not:brand:wikidata,properties/brewery,properties/toilets:menstrual_products,properties/payment:maestro,properties/payment:goldback
Feature,node/2611022056,Manchester,,M19 1TF,Burnage Lane,,cafe,Costa,Q608845,en:Costa Coffee,coffee_shop,yes,Costa,,,,,,,Point,-2.2104621,53.4203252,node/2611022056,1816763,,,,,Costa,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2611345760,Manchester,,06040,Hartford Road,,restaurant,,,,pizza,,Hartford Road Pizza,,,,+1 860 432 8800,https://www.hartfordroadpizza.com,yes,Point,-72.5322769,41.7651089,node/2611345760,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2624244026,Manchester,,48158,East Main Street,,restaurant,,,,pizza,,Frank's Place,,,,+1-734-428-8003,https://franksplacemi.com/,,Point,-84.0398746,42.1496063,node/2624244026,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2624244037,Manchester,,48158,East Main Street,,restaurant,,,,pizza,,Ollie's Pizza,,,,,,,Point,-84.0391376,42.1499137,node/2624244037,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://olliespizzaandgrinders.godaddysites.com/,,,,,,,,,,,,MI,,,,,,,,,,,,,place and address don't agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2626235911,Manchester,GB,M1 1JN,Oldham Street,,cafe,,,,,,Fig + Sparrow,,,,,https://www.figandsparrow.co.uk/,limited,Point,-2.2354271,53.482577,node/2626235911,1816885,,20,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2641010405,Manchester,GB,M1 3WF,Richmond Street,,cafe,,,,tea,,Richmond Tea Rooms,Mo-Fr 10:00-19:00; Sa 09:30-20:00; Su 09:30-18:00,,,+44 161 697 4474,https://www.richmondtearooms.com/,no,Point,-2.2365213,53.4764757,node/2641010405,1820657,,22,,,,reservations@richmondtearooms.com,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2671310560,Manchester,GB,M1 2FF,Tariff Street,,cafe,,,,,wlan,ASAP Coffee,,,,,,no,Point,-2.23246,53.4811345,node/2671310560,1822080,,6,,,Takk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2674346923,,,,,,restaurant,,,,regional,,OMG,,,,18769627251,,,Point,-77.5106397,18.0458768,node/2674346923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2676935246,Manchester,GB,M1 4FH,Faulkner Street,,restaurant,,,,thai,,Try Thai,,,no,+44 161 228 1822,http://www.try-thai.co.uk,,Point,-2.2403237,53.4781156,node/2676935246,1819416,no,52-54,2023-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2681830527,Manchester,,M1 3LZ,Sackville Street,,restaurant,,,,ethiopian,,Habesha,,,,,,no,Point,-2.2372016,53.4771266,node/2681830527,1820770,,29-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2683213736,Manchester,GB,M1 4EJ,Nicholas Street,,restaurant,,,,chinese,,China Buffet,,,no,,,no,Point,-2.240046,53.4783111,node/2683213736,1820398,no,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2683693094,Manchester,,M4 3TR,Hanging Ditch,,cafe,Starbucks,Q37158,en:Starbucks,coffee_shop,,Starbucks,,,,,https://www.starbucks.com/store-locator/store/2373/manchester-corporation-stree-75-hanging-ditch-fennel-street-pleer-house-manches,,Point,-2.2423533,53.4851145,node/2683693094,,,37,,,Corn Exchange,,,,,,,,,,,,,,,,,,,,yes,Starbucks Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2683693095,Manchester,,M4 2BS,Withy Grove,,restaurant,Wagamama,Q503715,en:Wagamama,asian,,Wagamama,,noodle,,,https://wagamama.com/restaurants/manchester/manchester-printworks,,Point,-2.241827,53.4851597,node/2683693095,1819830,,27,,,The Printworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2684074127,Manchester,,M4 3TR,Hanging Ditch,,restaurant,PizzaExpress,Q662845,en:PizzaExpress,pizza,,PizzaExpress,,,no,,https://www.pizzaexpress.com/manchester-corn-exchange,no,Point,-2.2424605,53.4849821,node/2684074127,1818982,no,37,,,Corn Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2684183677,,,,,,cafe,Caffè Nero,Q675808,en:Caffè Nero,coffee_shop,,Caffè Nero,Mo-Sa 07:00-20:00; Su 08:00-18:00,,,,https://www.caffenero.com/uk/stores/manchester-arndale,limited,Point,-2.242913,53.4838702,node/2684183677,,,,2024-08-22,,,,,,,,,,,,,,2024-08-22,0,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2684183697,Manchester,GB,M4 3AG,Corporation Street,,restaurant,Pizza Hut,Q191615,en:Pizza Hut,pizza,,Pizza Hut,Mo-Su 11:30-22:00,,,,,,Point,-2.2432386,53.4834272,node/2684183697,1821696,,15a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4 4DU,,,,,,,,,code-point_open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2684183704,Manchester,,M2 4EG,Princess Street,,restaurant,,,,greek,,Rozafa,Mo-Sa 11:00-24:00,,,,,yes,Point,-2.2433163,53.4793412,node/2684183704,,,57-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2689336183,,,,,,restaurant,,,,,,Juici Patties,,,,,,,Point,-77.5101037,18.0389291,node/2689336183,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2689336189,,,,,,restaurant,,,,chinese,,Bamboo Gardens,,,,,,,Point,-77.5142658,18.0385423,node/2689336189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2689448531,,,,,,restaurant,,,,chinese,,Pacific,,,no,,,no,Point,-2.2405564,53.4788849,node/2689448531,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2689449542,,,,,,restaurant,,,,japanese,,Teppanyaki,,,,,,no,Point,-2.2405866,53.4789013,node/2689449542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2689449604,Manchester,GB,M1 4HF,George Street,,restaurant,,,,chinese,,The New Emperor Restaurant,,,no,,,no,Point,-2.2403796,53.4790012,node/2689449604,,no,50,2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Plus Oriental Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2690870108,Manchester,,M2 3LW,Mosley Street,,cafe,,,,,,The Vienna Coffee House,,,no,,,yes,Point,-2.2421239,53.4789026,node/2690870108,1821840,no,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2690878105,Manchester,,M1 3WD,Canal Street,,,,,,,,Le Ville Hotel,,,,,,,Point,-2.2373568,53.476791,node/2690878105,,,36-42,2025-06-07,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2692887693,Manchester,GB,M1 4FF,Faulkner Street,,restaurant,,,,chinese,,Happy Seasons,,,,+44 161 236 7189,,no,Point,-2.2401335,53.4780624,node/2692887693,,,59-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2692887698,Manchester,GB,M1 4FH,Faulkner Street,,restaurant,,,,vietnamese,,Pho Cue,,,no,,https://phocue.co.uk/,no,Point,-2.2403666,53.4780881,node/2692887698,1819019,no,52a,2023-08-13,,,,,,,yes,yes,,,,,yes,,-1,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,+44 161 237 5664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2692887700,Manchester,GB,M1 4FH,Faulkner Street,,restaurant,,,,chinese,,宽窄巷 Noodle Alley,,,,,,no,Point,-2.2404495,53.4780282,node/2692887700,,,56A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noodle Alley,宽窄巷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2692887701,Manchester,GB,M1 4FH,Faulkner Street,,restaurant,,,,chinese,,Spicy City Restaurant,,,,,,no,Point,-2.2404748,53.4780086,node/2692887701,1819194,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2692887704,Manchester,GB,M1 4FH,Faulkner Street,,restaurant,,,,chinese,,Red Hot,,,no,,,no,Point,-2.2405067,53.4779837,node/2692887704,,no,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2692887721,Manchester,GB,M1 4HE,George Street,,restaurant,,,,chinese,,Little Yang Sing,,,no,,,no,Point,-2.2399014,53.4791449,node/2692887721,1818920,no,17,2023-08-14,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,no,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2692887724,Manchester,GB,M1 4HF,George Street,,restaurant,,,,vietnamese,,Pho,,,,,,no,Point,-2.2401083,53.4791844,node/2692887724,,,44,2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2692939475,Manchester,,M1 5GL,Hulme Street,,cafe,,,,,wlan,Cheeky Coffee Co.,Mo-Fr 07:00-18:00; Sa 08:00-12:00,,no,,https://cheekycoffeeco.co.uk/,yes,Point,-2.2404459,53.4730244,node/2692939475,,no,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2692939905,Manchester,,M1 5GL,Hulme Street,,restaurant,,,,korean,no,Chimaek,"PH,Mo-Su 12:00-21:00",,no,,,yes,Point,-2.2408982,53.4729086,node/2692939905,1819731,no,,,,The Quadrangle,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,no,,,no,no,no,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2696670987,Manchester,GB,M1 4EE,Faulkner Street,,restaurant,,,,chinese,,The New Hong Kong,,,no,,,no,Point,-2.2394004,53.4785708,node/2696670987,,no,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2696671521,Manchester,GB,M1 4EE,Faulkner Street,,restaurant,,,,chinese,,Mr Hong Beef Noodle,,,no,,,no,Point,-2.239299,53.4786454,node/2696671521,,no,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2696675276,Manchester,GB,M1 4HE,George Street,,restaurant,,,,chinese,,Hunan,,,no,,http://www.hunanrestaurant.co.uk,no,Point,-2.240063,53.4790309,node/2696675276,1821353,no,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2698021390,Manchester,,M1 1WA,Market Street,,cafe,Caffè Nero,Q675808,en:Caffè Nero,coffee_shop,wlan,Caffè Nero,Mo-Fr 06:30-20:00; Sa 07:00-20:00; Su 07:30-20:00,,yes,,https://www.caffenero.com/uk/stores/manchester-market-st,limited,Point,-2.2387055,53.4817331,node/2698021390,1819893,no,122a,2024-10-27,,,,,,,,yes,,,,,,,,,,,,,,yes,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,2024-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2698021677,Manchester,,M1 1WA,Market Street,,cafe,Costa,Q608845,en:Costa Coffee,coffee_shop,wlan,Costa,Mo-Fr 06:00-21:00; Sa 07:00-21:00; Su 08:00-19:00,,,,,yes,Point,-2.2385749,53.4817056,node/2698021677,1820906,no,124-126,,,,,,,,,yes,,,,,,,,,,,,,,yes,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2710873917,,,,,,cafe,,,,,,The Coffee Bean,,,,,,,Point,-2.2347702,53.4741441,node/2710873917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2717584735,Manchester,,M1 6JB,Princess Street,,,,,,,,New Union Hotel,,,,,,,Point,-2.2381941,53.4763927,node/2717584735,,,111,2025-06-07,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2719921968,,,,,,restaurant,,,,,,The Oak Restaurant,,,,,,,Point,-86.0851594,35.5012702,node/2719921968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2721293617,Manchester,GB,M1 6FU,Station Approach,,cafe,,,,coffee_shop,no,Java Bar Espresso,,,yes,,,limited,Point,-2.2413355,53.4742595,node/2721293617,1819454,separated,1-3,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2723714740,,,,,,cafe,,,,coffee_shop,,Hive Coffee,,,,,,,Point,-2.2331249,53.4776637,node/2723714740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2725488964,Manchester,GB,M21 9EG,Beech Road,,restaurant,,,,spanish,,Bar San Juan,,,,,https://www.barsanjuan.com/,,Point,-2.2801589,53.4385562,node/2725488964,1820791,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2725732994,Manchester,,,Beech Road,,restaurant,,,,pizza,,The Laundrette,10:00-23:00,,,,,,Point,-2.2789445,53.4382229,node/2725732994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2730665230,,,,,,restaurant,,,,,,Bloomfield Great House,Mo-Sa 12:00-22:00,,,,,,Point,-77.5140807,18.0336148,node/2730665230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2730712102,Manchester,GB,M1 4QU,Portland Street,,restaurant,,,,,,,,,,,,,Point,-2.2390204,53.4783511,node/2730712102,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/2739576174,Manchester,,M21 9EG,Beech Road,,cafe,,,,,no,On The Corner,,,,,,,Point,-2.2794906,53.4381456,node/2739576174,,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
