type,properties/@id,properties/name,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/created_by,properties/addr:city,properties/addr:housenumber,properties/addr:postcode,properties/addr:state,properties/addr:street,properties/amenity,properties/brand,properties/brand:wikidata,properties/cuisine,properties/official_name,properties/addr:suburb,properties/addr:unit,properties/contact:facebook,properties/contact:instagram,properties/delivery,properties/level,properties/opening_hours,properties/phone,properties/takeaway,properties/website,properties/branch,properties/ref,properties/attraction,properties/is_in:theme_park,properties/species:wikipedia,properties/species:wikidata,properties/bar,properties/check_date,properties/internet_access,properties/name:es,properties/outdoor_seating,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/reservation,properties/toilets,properties/toilets:wheelchair,properties/wheelchair,properties/wikidata,properties/wikipedia,properties/addr:housename,properties/addr:country,properties/source,properties/source:date,properties/internet_access:fee,properties/alt_name,properties/drink:alcohol,properties/note,properties/smoking,properties/diet:meat,properties/payment:bitcoincash,properties/brand:wikipedia,properties/contact:phone,properties/contact:website,properties/description,properties/capacity,properties/email,properties/name:fr,properties/name:en,properties/disused:amenity,properties/shop,properties/diet:vegan,properties/diet:vegetarian,properties/ref:miaaddr,properties/name:de,properties/currency:XBT,properties/payment:lightning,properties/payment:lightning_contactless,properties/payment:onchain,properties/survey:date,properties/air_conditioning,properties/payment:american_express,properties/payment:diners_club,properties/payment:discover_card,properties/payment:mastercard,properties/payment:visa,properties/indoor_seating,properties/opening_hours:covid19,properties/wikimedia_commons,properties/contact:twitter,properties/image,properties/loc_name,properties/website:menu,properties/diet:healthy,properties/self_service,properties/brewery,properties/pub,properties/short_name,properties/rooms,properties/old_name,properties/phone:mnemonic,properties/diet:non-vegetarian,properties/payment:contactless,properties/diet:beef,properties/diet:pork,properties/diet:seafood,properties/diet:chicken,properties/payment:bank_card,properties/contact:tripadvisor,properties/contact:yelp,properties/diet:gluten_free,properties/facebook,properties/instagram,properties/mobile,properties/parking,properties/panoramax,properties/check_date:currency:XBT,properties/payment:lightning:operator,properties/contact:tiktok,properties/language:en,properties/language:es,properties/payment:apple_pay,properties/payment:gift_card,properties/payment:google_pay,properties/payment:paypal,properties/payment:samsung_pay,properties/start_date
Feature,node/3243056761,Little Bread Cuban Sandwich Co.,,Point,-80.214368,25.767872,node/3243056761,,Miami,541,,,Southwest 12th Avenue,restaurant,,,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3243659271,Azucar Ice Cream Company,,Point,-80.2196546,25.7658359,node/3243659271,,,1503,33135,,Southwest 8th Street,restaurant,,,ice_cream,,,,,,,,Mo-We 11:00-21:00; Th-Sa 11:00-23:00; Su 11:00-22:00,-1054,,http://www.azucaricecream.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3247965416,CVI.CHE 105,,Point,-80.1884655,25.7754409,node/3247965416,,Miami,105,33132,FL,Northeast 3rd Avenue,restaurant,,,peruvian,,,,,,,,,,,https://www.ceviche105.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3788519216,Dharma Juice & Coffee Bar,,Point,153.4441296,-28.0742686,node/3788519216,,,,,,,cafe,,,coffee_shop,,,,,,,0,"Mo-Sa 07:30-16:00, Su 08:00-15:00",+61 423 943 290,,,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3788519445,Zarraffa's Coffee,,Point,153.4444271,-28.0742194,node/3788519445,,,1930,4220,,Gold Coast Highway,cafe,Zarraffa's Coffee,Q8066878,coffee_shop,,Miami,5,,,,0,Mo-Su 05:30-18:00,+61 7 5535 1963,yes,https://zarraffas.com,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,en:Zarraffas Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3793660489,Cake Thai,,Point,-80.1845009,25.8482617,node/3793660489,,,,,,,restaurant,,,thai,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3793660495,guarapo,,Point,-80.1835279,25.8479862,node/3793660495,,,,,,,restaurant,,,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3839885170,Joey's Italian Cuisine,,Point,-80.1992258,25.8009654,node/3839885170,,,,,,,restaurant,,,italian,,,,,,,,,-1230,,https://joeyswynwood.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3843182874,The River Oyster Bar,,Point,-80.1919656,25.767627,node/3843182874,,Miami,33,33131,FL,Southeast 7th Street,restaurant,,,seafood,,,100,,,yes,,"Mo-Su 12:00-16:00,17:30-22:30",,yes,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,+1 305-530-1915,https://www.therivermiami.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3998165464,Siam Rice Thai and Sushi,,Point,-80.1844855,25.8485801,node/3998165464,,Miami,7941,33138,FL,Biscayne Boulevard,restaurant,,,thai,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4106412781,Miami Under Ground,,Point,-80.2018034,25.8014956,node/4106412781,,Miami,331,33127,FL,Northwest 26th Street,cafe,,,coffee_shop,,,,,,,,Mo-Fr 07:00-16:00,,,http://www.mugwynwood.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4142568497,Residences at Bayside - by Elite City Stays,hotel,Point,-80.1886936,25.776957,node/4142568497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4147238093,Wynwood Diner,,Point,-80.1989946,25.8015391,node/4147238093,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4175040134,Le Cafe de Louison,,Point,-80.1788936,25.8477794,node/4175040134,,Miami,860 NE,33138,FL,Northeast 79th Street,cafe,,,french,,,,,,,,07:00-19:00,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4193878243,Bianchini Mercato,,Point,-80.1995637,25.8020851,node/4193878243,,,,,,,cafe,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4235821639,Vapiano,,Point,-80.1915783,25.7611532,node/4235821639,,,,,,,restaurant,Vapiano,Q506252,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4235839089,Cafe Papillon,,Point,-80.1885293,25.7770983,node/4235839089,,,276,,,Northeast 3rd Street,cafe,,,,,,,,,,,,-10716,,http://www.TheCafePapillon.com,,,,,,,,,wlan,,,,,,,,,,,,,,,,no,,,,,,,,,,European cafe & wine bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4264019494,Hide N Seek Espresso,,Point,153.4339267,-28.073847,node/4264019494,,,,,,,cafe,,,coffee_shop,,,2,https://www.facebook.com/hidenseekespresso13/,,,,Mo-Fr 05:30-13:30; Sa 06:00-12:00; Su 07:00-11:00,+61 447 593 827,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4289732924,El Taquitos,,Point,-80.2427881,25.7277388,node/4289732924,,,,,,,restaurant,,,mexican,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4289733001,Lulu,,Point,-80.2437806,25.7269414,node/4289733001,,,,,,,restaurant,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great for brunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4319353793,Peruano,,Point,-80.1886192,25.7755143,node/4319353793,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4393680897,Cream Parlor,,Point,-80.1849298,25.8505676,node/4393680897,,,,,,,cafe,,,ice_cream,,,,,,,,Mo-Th 09:00-18:00; Fr-Su 09:00-20:00,-5499,,https://www.creamparlor.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hellocreamparlor@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4406235892,,,Point,-80.1891304,25.7940154,node/4406235892,,,1800,,,Biscayne Boulevard,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,BIN 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4449407190,,attraction,Point,-80.2015977,25.7664535,node/4449407190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,calle ocho pequeña Habana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4535082493,Pollos & Jarras,,Point,-80.1885319,25.7757499,node/4535082493,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollos & Jarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4587210554,Calle Ocho Walk of Fame,attraction,Point,-80.2199727,25.7656438,node/4587210554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paseo de la Fama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle Ocho Walk of Fame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4600361590,Pizza Hut,,Point,-80.264003,25.7736045,node/4600361590,,Miami,120,33126,FL,Northwest 42nd Avenue,restaurant,Pizza Hut,Q191615,pizza,,,,,,,,,+1 305-444-7222,,https://locations.pizzahut.com/fl/miami/120-nw-42nd-ave,,,,,,,,,,Pizza Hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4622095243,Kick Off Sports Bar and Grill,,Point,-94.8677187,36.8707215,node/4622095243,,,,,,,restaurant,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4661308690,El Nuevo Siglo,,Point,-80.2164624,25.7658735,node/4661308690,,,,,,,restaurant,,,international,,,,,,,,,,,,,,,,,,,,,El Nuevo Siglo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,El Nuevo Siglo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4664689089,Latin American Cuisine,,Point,-80.1859493,25.7775841,node/4664689089,,,,,,,restaurant,,,caribbean,,,,,,,,,,,,,,,,,,,,,Latin American Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin American Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4686160889,,,Point,-80.1932678,25.7640743,node/4686160889,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,Baires grill Brickell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4705938191,"García,s Seafood",,Point,-80.2038532,25.7773631,node/4705938191,,,,,,,restaurant,,,seafood;fish,,,,,,,,Mo-Su 10:00-23:00,,,,,,,,,,,,,García's Seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4706018094,Juan Valdez Café,,Point,-80.1901761,25.7753372,node/4706018094,,,,,,,cafe,Juan Valdez Café,Q6301102,coffee_shop,,,,,,,,,,yes,,,,,,,,,11-07-2022,wlan,Juan Valdez Café,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cafe,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4712412089,Latin American,,Point,-80.2196168,25.7505833,node/4712412089,,,,,,,restaurant,,,,,,,,,,,Mo-Su 09:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4713855493,Manna Life Food,,Point,-80.1904505,25.7750028,node/4713855493,,Miami,80,33132,FL,Northeast 2nd Avenue,restaurant,,,,,,,,,,,Mo-Fr 10:00-19:00; Sa 11:00-16:00,,,https://www.mannalifefood.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manna Life Food,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4722198205,Thank You Miami,,Point,-80.2231949,25.7730703,node/4722198205,,Miami,1663,33135,FL,West Flagler Street,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4770384121,Miami seaplane tour,attraction,Point,-80.1779538,25.7466736,node/4770384121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miami seaplane tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4773376559,Verde,,Point,-80.1860858,25.7861011,node/4773376559,,,,,,,restaurant,,,,,,,,,,,"Mo-Tu,Fr-Su 11:00-17:00; Th 11:00-21:00; We off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4788863439,Suite Havana Café,,Point,-80.1949007,25.801879,node/4788863439,,,2609,33137,,North Miami Avenue,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4788863455,Mister Block Cafe,,Point,-80.1987148,25.8018475,node/4788863455,,,2621,33127,,Northwest 2nd Avenue,cafe,,,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4810040221,Barzola,,Point,-80.2753877,25.7783876,node/4810040221,,,4860,,,Northwest 7th Street,restaurant,,,latin_american,,,,,,,,,-2756,,,,,,,,,,,,Barzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4835402323,G Spot,,Point,-80.2704952,25.7792368,node/4835402323,,,4545,33126,,Northwest 7th Street,restaurant,,,,,,,,,,,Mo-Sa 09:00-23:00,-10250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4841845534,,hotel,Point,-80.2040771,25.8098428,node/4841845534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4850880823,Pizzey Park Pine Forest,attraction,Point,153.4280633,-28.0629961,node/4850880823,,,,,,Sonia Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4866021122,B&B Joint,,Point,-80.1938022,25.7649178,node/4866021122,,,,,,,restaurant,,,american,,,,,,,,,,,https://bnbjoint.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4886515021,Enriqueta's Sandwich Shop,,Point,-80.1914529,25.8039375,node/4886515021,,,186,33137,,Northeast 29th Street,restaurant,,,cuban,,,,,,,,Mo-Fr 06:30-19:00; Sa 07:00-15:00,-5558,yes,http://places.singleplatform.com/enriquetas-cafe/menu,,,,,,,,,,Enriqueta's Café,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4903184027,Mr. Bing,,Point,-80.1963579,25.8037293,node/4903184027,,,56,,,Northwest 29th Street,cafe,,,ice_cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4918537623,Suviche,,Point,-80.1948055,25.8028324,node/4918537623,,,,,,,restaurant,,,sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4945457422,La Granja,,Point,-80.2636926,25.7830931,node/4945457422,,Miami,1199,33126,FL,Northwest 42nd Avenue,restaurant,,,chicken;peruvian;seafood;steak_house,,,,,,yes,,Mo-Sa 11:00-22:00;Su 11:00-21:00,,,,,,,,,,,30-09-2024,,,,,,,,,,,,,,US,,,,,,,,,,,+1 305-642-4517,https://www.lagranjarestaurants.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4945642322,Hereford Grill,,Point,-80.2643899,25.7794744,node/4945642322,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hereford Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4952005421,Schnitzel House,,Point,-80.1748118,25.8483242,node/4952005421,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schnitzel House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4993345321,Clos Bistro & Cafe,,Point,-80.1878307,25.7731166,node/4993345321,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clos Bistro & Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4993345421,Juan Valdez Café,,Point,-80.188083,25.7731357,node/4993345421,,,,,,,cafe,Juan Valdez Café,Q6301102,coffee_shop,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5001792232,Starbucks,,Point,-80.2888404,25.7797834,node/5001792232,,,,,,,cafe,Starbucks,Q37158,coffee_shop,Starbucks Coffee,,,,,,,,,yes,,,,,,,,,,wlan,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5164895529,The Capital Grille,,Point,-80.190271,25.7694809,node/5164895529,,,444,,,Brickell Avenue,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5199074934,Quade & Co,,Point,153.4400734,-28.0673011,node/5199074934,,,2098,4220,,Gold Coast Highway,cafe,,,,,Miami,1,https://facebook.com/quadeandco,https://instagram.com/quadeandco,,0,Mo-Su 05:00-12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5199185824,Gourmet Pizza & Pasta,,Point,153.4400412,-28.0672629,node/5199185824,,,2098,4220,,Gold Coast Highway,restaurant,,,pizza;italian,,Miami,2,https://facebook.com/gourmetpizzapastamiami,,yes,0,,+61 7 5572 9211,yes,https://gourmetpizzapastamiami.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,BYO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5199230661,Niche Espresso,,Point,153.4403072,-28.067718,node/5199230661,,,2,,,Dawn Parade,cafe,,,,,,,,,,,,+61 451 703 233,,https://niche-espresso.edan.io/,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5205374152,Piccolo Espresso,,Point,153.44439,-28.0690082,node/5205374152,,,2,,,Hythe Street,cafe,,,coffee_shop,,,,,,,0,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5205432925,Grind Me Coffee Co.,,Point,153.4433169,-28.0756193,node/5205432925,,,20,4220,,Mountain View Avenue,cafe,,,coffee_shop,,Miami,,,,,,,+61 451 253 522,,https://www.grindme.com.au/,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5227403521,Crust,,Point,-80.2059324,25.7783211,node/5227403521,,,668,,,Northwest 5th Street,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5240543499,China Garden,,Point,153.4349606,-28.0672753,node/5240543499,,,,,,,restaurant,,,chinese,,,,,,yes,,Tu-Su 10:00-20:00,+61 7 5572 8266,yes,https://www.burleighgolfclub.com.au/guests/dining/restaurant.mhtml,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5252165022,La Province,,Point,-80.1890716,25.774401,node/5252165022,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5258538270,Viet Garden,,Point,153.4450294,-28.0760662,node/5258538270,,,,,,,restaurant,,,asian,,,,,,,,Mo-Su 17:00-22:00,+61 455 031 412,no,https://www.burleighmotel.com.au/,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5267248152,Thai I Am,,Point,153.4443406,-28.0745875,node/5267248152,,,,,,,restaurant,,,thai,,,17,,,,0,"Tu-Sa 11:30-21:00, Su 17:00-21:00",+61 7 5535 4988,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5322782121,Ferraro’s kitchen,,Point,-80.1743866,25.8483675,node/5322782121,,,1099,,,Northeast 79th Street,restaurant,,,,,,,,,,,"Mo-Sa 11:30-15:30, 17:30-22:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
