type,properties/@id,properties/internet_access,properties/name,properties/old_name,properties/phone,properties/rooms,properties/tourism,properties/website,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/amenity,properties/cuisine,properties/addr:housenumber,properties/addr:street,properties/check_date,properties/indoor_seating,properties/wheelchair,properties/addr:country,properties/addr:postcode,properties/addr:suburb,properties/air_conditioning,properties/brand,properties/brand:wikidata,properties/brand:wikipedia,properties/contact:phone,properties/contact:website,properties/opening_hours,properties/addr:city,properties/addr:unit,properties/payment:cash,properties/payment:credit_cards,properties/payment:debit_cards,properties/bar,properties/outdoor_seating,properties/smoking,properties/addr:housename,properties/addr:state,properties/internet_access:fee,properties/takeaway,properties/email,properties/addr:floor,properties/level,properties/toilets,properties/toilets:access,properties/name:en,properties/changing_table,properties/drive_through,properties/toilets:menstrual_products,properties/toilets:wheelchair,properties/historic,properties/operator,properties/contact:facebook,properties/breakfast,properties/delivery,properties/delivery:partner,properties/fixme,properties/ref,properties/contact:instagram,properties/contact:twitter,properties/fax,properties/stars,properties/website:menu,properties/highchair,properties/phone:AU,properties/brand:en,properties/brand:ja,properties/name:ja,properties/reservation,properties/wikidata,properties/wikipedia,properties/capacity,properties/brewery,properties/description,properties/diet:dairy_free,properties/diet:gluten_free,properties/diet:meat,properties/diet:vegetarian,properties/payment:mastercard,properties/payment:visa,properties/diet:vegan,properties/alt_name,properties/check_date:diet:vegan,properties/check_date:diet:vegetarian,properties/check_date:opening_hours,properties/check_date:smoking,properties/payment:american_express,properties/min_age,properties/drink:coffee,properties/food:salad,properties/food:bagel,properties/diet:noodle,properties/not:brand:wikidata,properties/opening_hours:signed,properties/self_service,properties/drink:bubble_tea,properties/currency:AUD,properties/second_hand,properties/stroller
Feature,node/4646406895,,Taka's Kitchen,,,,,,Point,115.8614237,-31.9525596,node/4646406895,restaurant,japanese,,,,,,,,,,,,,,,"Mo,Tu,Th,Sa 11:00-19:00; Fr 11:00-20:00; We,Su off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4718879767,,Annalakshmi on the Swan,,+61 8 9221 3003,,,www.annalakshmi.com.au,Point,115.8574121,-31.9596238,node/4718879767,restaurant,,,Barrack Square,,,,,,,,,,,,,"Mo-Su 12:00-14:00,18:00-21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,needs_survey,Jetty 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4735957478,yes,Parmelia Hilton Perth,,+61 8 9215 2000,284,hotel,https://www.hilton.com/en/hotels/perhitw-parmelia-hilton-perth/,Point,115.8529648,-31.9545586,node/4735957478,,,14,Mill Street,2024-07-17,,yes,,6000,Perth,,Hilton,Q598884,en:Hilton Hotels & Resorts,,,,,,,,,,,outside,,,yes,,perth@hilton.com,,,,,,,,,,,Hilton,https://www.facebook.com/ParmeliaHilton,,,,,,https://www.instagram.com/parmeliahilton,https://twitter.com/parmeliahilton,+61 8 9215 2001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4774711567,,The Coffee Club,,+61 8 6459 3701,,,https://www.coffeeclub.com.au/,Point,115.8680213,-31.958337,node/4774711567,cafe,coffee_shop,226,Adelaide Terrace,2025-06-28,,no,AU,6000,Perth,yes,The Coffee Club,Q7726599,en:The Coffee Club,,,Mo-Fr 07:00-15:00; Sa-Su 07:30-15:00,,,,,,,yes,no,,WA,,yes,,,,,,,,,,,,,,,,,,,,,,,https://coffeeclub.com.au/pages/menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4788724036,,Gami,,,,,,Point,115.8533923,-31.9519423,node/4788724036,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4788747439,no,Sushikaze,,+61 431 046 040,,,,Point,115.8609633,-31.9545551,node/4788747439,restaurant,japanese,580,Hay Street,2026-01-30,,yes,,,,yes,,,,,,Mo-Sa 11:30-20:00; Su 11:30-15:00,,,,,,no,no,,,,,yes,sushikazeperth@gmail.com,G,0,no,,,,,no,no,,,,,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4789300822,,Took Be Gi,,,,,,Point,115.861964,-31.9549807,node/4789300822,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Took Be Gi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5001501323,,Sayers Sister,,,,,,Point,115.8616447,-31.9404711,node/5001501323,cafe,coffee_shop,,,2023-07-16,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,Sayers Sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5068984522,wlan,Le Vietnam,,,,,,Point,115.8606176,-31.9541942,node/5068984522,restaurant,sandwich;vietnamese,80,Barrack Street,2025-09-15,,yes,,,,,,,,,,"Mo-Fr 10:00-15:00; Sa-Su,PH off",,,yes,yes,yes,,yes,,,,,yes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5209847345,wlan,Juice Station,,+61 8 6153 3969,,,https://www.juicestation.com.au/,Point,115.858795,-31.9551105,node/5209847345,cafe,,,London Court,,,yes,,,,,,,,,,"Mo-Fr 09:00-17:30; Sa,Su 11:00-17:30",,48,,,,,yes,no,,,no,,info@juicestation.com.au,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5265143424,,OMG Coffee & Toastie,,,,,,Point,115.8621524,-31.95577,node/5265143424,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5272051021,,Pizza Hut,,,,,,Point,115.8619723,-31.9540552,node/5272051021,restaurant,pizza,101,Murray Street,,,,,,,,Pizza Hut,Q191615,en:Pizza Hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300 749 924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5311678961,wlan,ibis Perth,,+61 8 9322 2844,,hotel,https://www.accorhotels.com/gb/hotel-1773-ibis-perth/,Point,115.85576,-31.9516758,node/5311678961,,,334,Murray Street,,,,AU,6000,Perth,,Ibis,Q920166,en:Ibis (hotel),,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5311679372,,Afro Authentic,,,,,,Point,115.8550447,-31.9519449,node/5311679372,restaurant,coffee_shop;african,49,King Street,2025-06-13,,,,6000,Perth,,,,,,,,,,,,,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5311679375,,Rubix,,,,,,Point,115.8555642,-31.9516826,node/5311679375,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5315791232,,Tiisch,,,,,,Point,115.8518321,-31.9516654,node/5315791232,cafe,,,,2023-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5315952892,,Market Grounds,,+61 8 6148 5600,,,https://www.marketgrounds.com.au/,Point,115.855594,-31.949454,node/5315952892,restaurant,,,,,,,,,,,,,,,,Mo-Su 11:00+,,,,,,,yes,,,,,,info@marketgrounds.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5315953093,,Ippudo,,,,,,Point,115.855926,-31.9498338,node/5315953093,restaurant,ramen,,,,,,,,,,Ippudo,Q6065417,,+61 8 9324 2575,https://stores.ippudo.com/en_au/AU006,"Mo-Th 11:30-14:00,17:00-20:00; Fr-Su 11:30-15:00,17:00-20:30",,,,,,,,,,,,,,,,,,Ippudo,,,,,,,,,,,needs_survey,AU006,,,,,,,,Ippudo,一風堂,一風堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5318089409,,AGWA Cafe and Bar,,,,,,Point,115.8606478,-31.9504669,node/5318089409,cafe,,,,,,yes,,,,,,,,,,"Mo,We-Fr 10:00-17:00; Sa,Su 10:00-17:00",,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5318091387,,La Veen,,,,,,Point,115.8556205,-31.9506811,node/5318091387,cafe,,,,,yes,limited,,,,,,,,,https://laveencoffee.com.au/,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5319760222,,,,,,,,Point,115.8410839,-31.9648446,node/5319760222,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5353880226,,Cafe Fresh,,,,,,Point,147.1768542,-41.5790024,node/5353880226,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5671339122,,Ivy & Jack,,,,,,Point,115.8561165,-31.9530597,node/5671339122,restaurant,,,William Street,2025-04-14,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6288372985,,Presotea,,,,,,Point,115.8573406,-31.9517025,node/6288372985,cafe,,,,,,,,,,,,,,,,Sa-Th 11:00-18:00; Fr 11:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6460953570,,C Restaurant,,+61 8 9220 8333,,,https://www.crestaurant.com.au/,Point,115.8593336,-31.9550479,node/6460953570,restaurant,french,44,St Georges Terrace,,,,AU,6000,Perth,yes,,,,,,,,,,,,,no,no,,WA,,,,33,33,yes,,,,,,,,,,,,,,,,,,,https://www.crestaurant.com.au/menus/,,,,,,recommended,Q14935785,en:C Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6544768626,,,,,,,https://www.pretzelaustralia.com.au/,Point,115.8599924,-31.9493898,node/6544768626,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6556446235,,Presotea,,,,,,Point,115.8603127,-31.9541799,node/6556446235,cafe,,81,Barrack Street,2025-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6621576185,,offshoot,,,,,,Point,115.8637525,-31.9556792,node/6621576185,cafe,,480,Hay Street,,,,,6000,,,,,,,,Mo-Fr 07:00-15:00,,Shop 2,,,,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6622407287,,Short Order Burger Co,,,,,,Point,115.8555252,-31.9529779,node/6622407287,restaurant,burger,,,,,,,,,,,,,,,Mo-Su 11:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6625224886,,Sush Asaka,,,,,,Point,115.8544035,-31.9534086,node/6625224886,restaurant,sushi;japanese,,,2025-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6625224887,,Velvet Coffee,,,,,,Point,115.8543697,-31.953478,node/6625224887,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6690582414,,HiThai,,,,,,Point,115.8548012,-31.9550042,node/6690582414,restaurant,,,,,,,,,,,,,,,,Mo-Su 10:00-15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6789578585,,RoyAl's,,,,,,Point,115.8602795,-31.9478191,node/6789578585,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6796678513,,Hifumiya,,,,,,Point,115.8624223,-31.9536103,node/6796678513,restaurant,udon;japanese,100-104,Murray Street,,,limited,,6000,Perth,,,,,+61 8 9221 9462,http://hifumiya.com.au/,Mo-Fr 11:00-15:00; Sa 11:00-16:00; Su 11:00-17:00; PH off,,,,,,,no,no,,WA,,no,,,,,,,,,,,,,,,no,,,,hifumiyaudonnoodle,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6917331196,,Maximilian Dining Lounge,,,,,,Point,-76.2480554,44.8989254,node/6917331196,restaurant,,,,2025-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6918436234,,North Folk Cafe,,,,,,Point,-76.2511172,44.9014324,node/6918436234,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6918513209,,The Locks Perth,,,,,,Point,-76.2524262,44.8996987,node/6918513209,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6923875322,,Nando's,,,,,https://www.nandos.com.au/,Point,115.8580432,-31.9515675,node/6923875322,restaurant,chicken;portuguese,,,2023-03-08,,,AU,,,,Nando's,Q3472954,en:Nando's,,,,,,,,,,,,,WA,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6929336599,,Polly,,,,,,Point,115.8609934,-31.9498491,node/6929336599,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6929398203,,Shots,,,,,,Point,115.8622587,-31.9555113,node/6929398203,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6929398204,,Saint Larry Café,,,,,https://cathedral-square.com.au/businesses/saint-larry-cafe/,Point,115.8611121,-31.9551892,node/6929398204,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6929398205,,Croissant Express,,,,,,Point,115.8619987,-31.9550759,node/6929398205,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6960800948,,Thomasino's,,,,,,Point,-76.2538156,44.9016613,node/6960800948,restaurant,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6988797652,,La Veen,,,,,,Point,115.8571108,-31.9519362,node/6988797652,cafe,,,,2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6988802659,,The Shoe Bar and Cafe,,,,,,Point,115.8583192,-31.9506155,node/6988802659,cafe,coffee_shop,,,2025-07-04,,yes,,,,,,,,,,,,,,,,,yes,,,,,yes,,,0,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6989155532,,Edosei,,,,,,Point,115.8605284,-31.9544165,node/6989155532,restaurant,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6989155533,no,Namoo Korean Restaurant,,,,,,Point,115.8605714,-31.9543062,node/6989155533,restaurant,korean,,,2025-09-15,,,,,,,,,,,,Mo-Th 17:00-22:00; Fr 11:30-14:00; Sa 17:00-23:00; Su off,,,yes,yes,yes,,,,,,,,,,0;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6989261066,,Hearth,,,,,,Point,115.8578532,-31.9581569,node/6989261066,restaurant,,,,2022-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7135690206,no,Sushi Hub,,,,,,Point,115.8574996,-31.9528737,node/7135690206,restaurant,sushi;japanese,,,2026-02-03,,yes,,,,yes,,,,,,,,,,,,no,,,,,,,,G,0,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/7883110689,,The Wolf,,,,,,Point,115.8556714,-31.9525556,node/7883110689,cafe,,800,Hay Street,2025-11-12,,,,6000,,,,,,,,,,6,,,,,,,Arcade 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8147991282,,Balti Indian restaurant,,,,,,Point,115.8652722,-31.9574237,node/8147991282,restaurant,,2,St Georges Terrace,2025-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148061516,,Hyde Perth Kitchen + Cocktails,,+61 8 6371 1001,,,https://www.sbe.com/nightlife/hyde/perth,Point,115.8527132,-31.9519888,node/8148061516,restaurant,,900,Hay Street,,,,AU,6000,Perth,,,,,,,Th-Sa 15:00-22:00,,,,,,,,,,WA,,,events@hydeperth.com,,1,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148075754,,Peoples Inn Dumpling House,,+61 8 9202 1851,,,,Point,115.8674277,-31.9571779,node/8148075754,restaurant,asian,,,,,,,,,,,,,,,"Mo-Sa 11:00-16:00,17:00-21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148077750,,Rolls at 996,,+61 452 481 795,,,,Point,115.8501044,-31.9512392,node/8148077750,restaurant,vietnamese,996,Hay Street,,,,AU,6000,Perth,,,,,,,Mo-Fr 08:00-15:00,,2,,,,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,also a cafe,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148090499,,The Asian Mint Cafe,,+61 8 9221 2988,,,,Point,115.8685581,-31.9572016,node/8148090499,restaurant,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148094974,,Nine Marys Indian Restaurant,,+61 8 9226 4251,,,http://www.9marys.com/,Point,115.8518764,-31.9519586,node/8148094974,restaurant,indian,921,Hay Street,,,,AU,6000,Perth,,,,,,,"Mo-Fr 11:30-14:30,17:30-21:30",,,,,,,,,,WA,,,9marysperth@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148108763,,Ramen Keisuke Tonkotsu King,,,,,https://www.melbournehotel.com.au/keisuke.html,Point,115.8513592,-31.9516294,node/8148108763,restaurant,,33,Milligan Street,,,,,,,,,,,,,"11:00-14:30,17:30-20:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148115032,,Toku Shushi,,,,,,Point,115.8499905,-31.9512043,node/8148115032,restaurant,japanese,996,Hay Street,,,,AU,6000,Perth,,,,,,,Mo-Fr 10:00-15:00,,1,,,,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148122936,,Just Eat,,,,,,Point,115.8493878,-31.951276,node/8148122936,cafe,,999,Hay Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148139342,yes,Cespresso CBD West,,+61 8 9226 2006,,,,Point,115.8503468,-31.9512729,node/8148139342,restaurant,,996,Hay Street,,,,AU,6000,Perth,,,,,,,Mo-Fr 06:00-17:00; Sa 07:00-12:00,,5,,,,,,,,WA,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8148140812,,Mr. Sandwich,,,,,,Point,115.8501881,-31.9512582,node/8148140812,cafe,,996,Hay Street,,,,AU,6000,Perth,,,,,,,Mo-Fr 07:00-15:30,,3,,,,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8166950508,no,Epoch Museum Cafe,,,,,,Point,115.8623656,-31.9495431,node/8166950508,cafe,,,,2026-02-02,,limited,,,,,,,,,,07:00-15:30,,,,,,,no,,,,,,,G,0,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8347156757,,Eat House,,,,,,Point,115.8554301,-31.9497521,node/8347156757,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8531020827,,Samuels on Mill,,+61 8 9215 2422,,,https://www.samuelsonmill.com/,Point,115.8529384,-31.9543676,node/8531020827,restaurant,international;western_australian,14,Mill Street,,,,,6000,Perth,,,,,,,"Mo-Fr 06:30-10:00, Sa,Su,PH 07:00-10:30, Mo-Fr 11:00-21:30, Sa,Su,PH 17:00-21:30",,,,,,,,,,WA,,,samuelsonmill@hilton.com,,,,,,,,,,,,https://www.facebook.com/SamuelsOnMill,,,,,,https://www.instagram.com/samuels_on_mill/,,,,,,,,,,,,,,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,
Feature,node/8859333157,,Public House,,+61 8 6117 0675,,,https://www.publichouseperth.com.au/,Point,115.8653898,-31.9580263,node/8859333157,restaurant,chicken_parmigiana;burger;pizza,263,Adelaide Terrace,,,,,6000,Perth,,,,,,,"Tu-Th 10:00-22:00, Fr 10:00-00:00, Sa 15:00-00:00",,,,,,,,,,WA,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8859333158,,Duxton Hotel Perth,,,,hotel,,Point,115.8648265,-31.9579376,node/8859333158,,,1,St Georges Terrace,2024-05-11,,,,6000,Perth,,,,,,,,,,,,,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/8859333159,,Firewater Grille,,+61 8 9261 8025,,,,Point,115.8649445,-31.9578852,node/8859333159,restaurant,,1,St Georges Terrace,,,,,6000,Perth,,,,,,,Mo-Su 06:30-22:00,,,,,,,,,,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/9576620063,,Peasants Paradice,,+61 8 6113 8959,,,https://peasantsparadice.com/,Point,115.8608172,-31.9420112,node/9576620063,restaurant,,,,,,,,,,,,,,,,We-Th 12:00-21:00; Fr-Sa 12:00-22:00; Su 10:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/peasantsparadice/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/9882348017,,Circles Xpresso,,,,,,Point,115.858039,-31.9372597,node/9882348017,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/9882392317,,Boo Too,,,,,,Point,115.8597182,-31.9390624,node/9882392317,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/10104736836,,Six Senses,,,,,,Point,115.8573575,-31.9592141,node/10104736836,restaurant,thai,,,2022-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Six Senses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/10187259253,,99 Shades of Green,,,,,,Point,115.8556932,-31.9546475,node/10187259253,cafe,coffee_shop;juice;salad;breakfast;sandwich,,,2025-05-05,,yes,,,,,,,,,,Mo-Fr 06:00-15:30; Sa-Su off,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,
Feature,node/10220851256,,Oyster Bar Elizabeth Quay,V Burger Bar,+61 8 9225 4860,,,https://www.oysterbar.com.au/elizabeth-quay,Point,115.856283,-31.9572572,node/10220851256,restaurant,seafood,,,,,,,,,,,,,,,Mo-Su 11:00+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/10720788729,,Furaibo,,,,,,Point,115.8577724,-31.9516328,node/10720788729,restaurant,,,,2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/10720788730,,Italian Street Kitchen,,,,,,Point,115.8576746,-31.9518103,node/10720788730,restaurant,italian,,,2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
